cod_canton|nombre|poblacion|cod_provincias|cod_clima
0911|NARANJAL|69012|09|Aw
0912|NARANJITO|37186|09|Aw
0913|PALESTINA|16065|09|Aw
0914|PEDRO CARBO|43436|09|Aw
0916|SAMBORONDON|67590|09|Aw
0918|SANTA LUCIA|38923|09|Aw
0919|URBINA|57402|09|Aw
0920|SAN JACINTO DE YAGUACHI|60958|09|Aw
0921|PLAYAS|41935|09|Aw
0922|SIMON BOLIVAR|25483|09|Aw
0923|CORONEL MARCELINO MARIDUEÑA|12033|09|Aw
0924|LOMAS DE SARGENTILLO|18413|09|Aw
0925|NOBOL|19600|09|Aw
0927|GENERAL ANTONIO ELIZALDE|10642|09|Cfb
0928|ISIDRO AYORA|10870|09|Aw
1001|IBARRA|181175|10|Csb
1002|ANTONIO ANTE|43518|10|Csb
1003|COTACACHI|40036|10|Csb
1004|OTAVALO|104874|10|Csb
1005|PIMAMPIRO|12970|10|Csb
1006|SAN MIGUEL DE URCUQUI|15671|10|Csb
1101|LOJA|214855|11|Cfb
1102|CALVAS|28185|11|Aw
1103|CATAMAYO|30638|11|Cfb
1104|CELICA|14468|11|Aw
1105|CHAGUARPAMBA|7161|11|Aw
1106|ESPINDOLA|14799|11|Cfb
1107|GONZANAMA|2716|11|Cfb
1108|MACARA|19018|11|Aw
1109|PALTAS|23801|11|Aw
1110|PUYANGO|15513|11|BSh
1111|SARAGURO|30183|11|Cfb
1112|SOZORANGA|7465|11|Aw
1113|ZAPOTILLO|12312|11|BSh
1114|PINDAL|8645|11|BSh
1115|QUILANGA|4337|11|Cfb
1116|OLMEDO|4870|11|Aw
1201|BABAHOYO|153776|12|Aw
1202|BABA|39681|12|Aw
1203|MONTALVO|24164|12|Aw
1204|PUEBLOVIEJO|36477|12|Aw
1205|QUEVEDO|173575|12|Aw
1206|URDANETA|29263|12|Aw
1207|VENTANAS|66551|12|Aw
1208|VINCES|71736|12|Aw
1209|PALENQUE|22320|12|Aw
1210|BUENA FE|63148|12|Aw
1211|VALENCIA|42556|12|Aw
1212|MOCACHE|38392|12|Aw
1213|QUINSALOMA|16476|12|Aw
1301|PORTOVIEJO|280029|13|Aw
1302|BOLIVAR|40735|13|Aw
1303|CHONE|126491|13|Aw
1304|EL CARMEN|89021|13|Aw
1305|FLAVIO ALFARO|25004|13|Aw
1306|JIPIJAPA|71083|13|Aw
1307|JUNIN|18942|13|Aw
1308|MANTA|226477|13|Aw
1309|MONTECRISTI|70294|13|Aw
1310|PAJAN|37073|13|Aw
1311|PICHINCHA|30244|13|Aw
1312|ROCAFUERTE|33469|13|Aw
1313|SANTA ANA|47385|13|Aw
1314|SUCRE|57159|13|Aw
1315|TOSAGUA|38341|13|Aw
1316|24 DE MAYO|28846|13|Aw
1317|PEDERNALES|55128|13|Am
1318|OLMEDO|9844|13|Aw
1319|PUERTO LOPEZ|20451|13|Aw
1320|JAMA|23253|13|Aw
1321|JARAMIJO|18486|13|Aw
1322|SAN VICENTE|22025|13|Aw
1401|MORONA|41155|14|Cfb
1402|GUALAQUIZA|17162|14|Aw
1403|LIMON INDANZA|9722|14|Aw
1404|PALORA|6936|14|Cfb
1405|SANTIAGO|9295|14|Aw
1406|SUCUA|18318|14|Cfb
1407|HUAMBOYA|8466|14|Cfb
1408|SAN JUAN BOSCO|3908|14|Aw
1409|TAISHA|18437|14|Af
1410|LOGROÑO|5723|14|Cfb
1411|PABLO SEXTO|1823|14|Af
1412|TIWINTZA|6995|14|Aw
1501|TENA|60880|15|Af
1503|ARCHIDONA|24969|15|Af
1504|EL CHACO|7960|15|Cfb
1507|QUIJOS|6224|15|Cfb
1509|CARLOS JULIO AROSEMENA TOLA|3664|15|Af
1601|PASTAZA|62016|16|Cfb
1602|MERA|11861|16|Cfb
1603|SANTA CLARA|3565|16|Cfb
1604|ARAJUNO|6491|16|Af
1701|QUITO|2239191|17|Cfb
1702|CAYAMBE|85795|17|Csb
1703|MEJIA|81335|17|Cfb
1704|PEDRO MONCAYO|33172|17|Csb
1705|RUMIÑAHUI|85852|17|Cfb
1707|SAN MIGUEL DE LOS BANCOS|17573|17|As
1708|PEDRO VICENTE MALDONADO|12924|17|Am
