id_capacidad|habitaciones|camas|id_sub_act|id_categoria|cod_canton
428|22|56|17|22|1310
429|46|132|17|24|1317
430|125|310|17|23|1317
431|183|534|17|22|1317
432|71|132|17|23|1317
433|134|273|19|24|1317
434|60|127|20|25|1317
435|49|164|20|24|1317
436|105|282|20|23|1317
437|13|31|17|24|1301
438|48|131|17|23|1301
439|368|749|17|22|1301
440|87|127|17|23|1301
441|95|256|19|24|1301
442|48|94|20|25|1301
443|229|519|20|24|1301
444|187|435|20|23|1301
445|6|6|8|21|1319
446|52|129|9|21|1319
447|41|89|17|24|1319
448|84|216|17|23|1319
449|323|887|17|22|1319
450|12|29|17|24|1319
451|12|24|17|23|1319
452|58|138|19|25|1319
453|135|365|19|24|1319
454|38|75|20|24|1319
455|49|144|20|23|1319
456|12|27|21|25|1319
457|53|135|19|24|1312
458|7|8|8|21|1322
459|7|13|9|21|1322
460|5|24|16|24|1322
461|108|234|17|24|1322
462|108|234|17|23|1322
463|154|489|17|22|1322
464|29|70|17|24|1322
465|143|169|17|23|1322
466|56|168|19|24|1322
467|20|72|20|24|1322
468|33|124|20|23|1322
469|31|55|17|22|1313
470|14|38|19|24|1313
471|11|18|9|21|1314
472|54|118|17|24|1314
473|58|119|17|23|1314
474|105|318|17|22|1314
475|12|34|17|24|1314
476|69|160|17|23|1314
477|48|171|19|24|1314
478|94|205|20|25|1314
479|116|264|20|24|1314
480|56|162|20|23|1314
481|28|78|17|22|1315
482|14|28|17|23|1315
483|37|61|20|23|1315
484|20|32|17|23|1402
485|95|162|17|22|1402
486|21|40|19|24|1402
487|117|183|20|23|1402
488|100|160|17|22|1403
489|10|27|17|22|1410
490|4|6|9|21|1401
491|131|277|17|23|1401
492|192|341|17|22|1401
493|56|117|19|24|1401
494|41|96|20|24|1401
495|158|292|20|23|1401
496|12|23|17|22|1411
497|7|10|16|24|1404
498|12|24|17|22|1404
499|30|60|20|23|1404
500|7|18|21|25|1404
501|12|19|17|23|1408
502|25|38|20|23|1408
503|16|26|17|23|1405
504|39|49|17|22|1405
505|57|110|19|24|1405
506|31|52|20|25|1405
507|61|126|17|23|1406
508|50|139|17|22|1406
509|50|120|19|24|1406
510|71|134|20|23|1406
511|8|20|17|22|1412
512|26|38|17|23|1503
513|12|30|17|22|1503
514|16|40|19|25|1503
515|90|226|19|24|1503
516|23|47|20|23|1503
517|20|47|21|25|1503
518|11|31|19|24|1509
519|25|52|9|21|1504
520|61|136|17|22|1504
521|14|31|17|23|1504
522|10|39|19|24|1504
523|26|37|20|23|1504
524|5|12|9|21|1507
525|10|22|17|24|1507
526|14|27|17|23|1507
527|170|324|17|22|1507
528|12|35|17|23|1507
529|38|82|19|26|1507
530|7|12|19|25|1507
531|94|161|19|24|1507
532|16|30|20|24|1507
533|12|17|20|23|1507
534|4|4|21|25|1507
535|11|34|28|21|1507
536|6|24|8|21|1501
537|8|25|9|21|1501
538|146|310|17|24|1501
539|125|261|17|23|1501
540|661|1548|17|22|1501
541|17|21|17|23|1501
542|11|38|19|26|1501
543|109|266|19|25|1501
544|361|935|19|24|1501
545|47|102|20|25|1501
